student_id,hours_studied,attendance_pct,previous_grade,sleep_hours,extracurricular,parent_education,final_score,passed
S001,12.5,88,72,7.0,1,bachelors,78,1
S002,4.0,61,54,5.5,0,high_school,48,0
S003,18.0,96,85,8.0,1,masters,92,1
S004,7.5,74,63,6.0,0,high_school,58,0
S005,15.0,91,80,7.5,1,bachelors,86,1
S006,3.0,55,49,5.0,0,high_school,41,0
S007,10.0,82,70,6.5,1,bachelors,73,1
S008,8.0,77,66,6.0,0,associates,64,1
S009,20.0,98,90,8.5,1,masters,96,1
S010,6.5,69,58,5.5,0,high_school,52,0
S011,14.0,89,76,7.0,1,bachelors,81,1
S012,2.5,50,45,4.5,0,high_school,38,0
S013,11.0,85,71,7.0,0,associates,74,1
S014,9.5,80,68,6.5,1,bachelors,71,1
S015,5.0,64,56,5.5,0,high_school,50,0
S016,16.5,94,83,8.0,1,masters,90,1
S017,7.0,72,61,6.0,1,associates,60,1
S018,13.0,87,75,7.5,0,bachelors,79,1
S019,4.5,59,52,5.0,0,high_school,45,0
S020,19.0,97,88,8.0,1,masters,94,1
S021,8.5,78,65,6.5,1,bachelors,67,1
S022,6.0,67,57,5.5,0,high_school,53,0
S023,12.0,86,73,7.0,1,associates,77,1
S024,3.5,53,47,5.0,0,high_school,40,0
S025,15.5,92,81,7.5,1,bachelors,87,1
S026,10.5,83,69,6.5,0,bachelors,72,1
S027,1.5,48,42,4.5,0,high_school,35,0
S028,17.0,95,84,8.0,1,masters,91,1
S029,9.0,79,67,6.0,1,associates,68,1
S030,11.5,84,74,7.0,0,bachelors,76,1
S031,5.5,66,55,5.5,0,high_school,51,0
S032,14.5,90,78,7.5,1,bachelors,83,1
S033,8.0,75,64,6.0,0,high_school,61,1
S034,21.0,99,92,8.5,1,phd,98,1
S035,4.0,58,50,5.0,1,high_school,46,0
S036,13.5,88,77,7.0,1,masters,82,1
S037,7.5,73,62,6.5,0,associates,59,0
S038,16.0,93,82,8.0,0,bachelors,88,1
S039,2.0,49,44,4.5,0,high_school,36,0
S040,10.0,81,70,7.0,1,bachelors,74,1
S041,6.0,68,56,6.0,1,high_school,54,0
S042,18.5,96,86,8.0,1,phd,93,1
S043,9.0,76,66,6.5,0,associates,65,1
S044,12.5,85,72,7.0,1,bachelors,78,1
S045,3.0,52,46,5.0,0,high_school,39,0
S046,15.0,91,79,7.5,0,masters,85,1
S047,8.5,77,64,6.0,1,bachelors,66,1
S048,11.0,84,71,7.0,1,associates,75,1
S049,5.0,63,54,5.5,0,high_school,49,0
S050,19.5,98,89,8.5,1,phd,95,1
